,species,genotype,clone,slideID,picnum,slide,lookupID,IAS,Lthick1,Lthick2,avgLthick,Mthickad1,Mthickad2,Avg.Mthickad,Mthickab1,Mthickab2,Avg.Mthickab,Avg.cell.ad,Avg.cell.ab,Avg.dist.maj,Avg.dist.minor,Avg.area.maj,Avg.area.minor,# planes
72,YF,9,1,33,2,1,33.2,0.231882917,501.546,493.686,497.616,133.051,155.6,144.3255,89.661,118.378,104.0195,1011.4942,536.3984,893.555,224.032,18091.999,1947.6298,3
73,YF,9,1,33,3,1,33.3,0.311975431,553.173,648.854,601.0135,172.534,166.433,169.4835,135.882,145.671,140.7765,909.778,702.9334,767.771,252.7452222,23802.0,2340.606091,3
74,YG,2,A,34,1,1,34.1,0.17898968,630.8,638.226,634.513,161.712,198.453,180.0825,136.901,191.332,164.1165,1052.7808,852.0486,515.3055,521.6693333,14481.83567,3213.48425,2
75,YG,2,A,34,2,1,34.2,0.2104533,762.58,707.532,735.056,232.823,157.368,195.0955,143.477,155.398,149.4375,1012.7764,768.171,577.405,345.3276667,16980.58,3305.04825,3
76,YG,2,A,34,3,1,34.3,0.177005372,1000.152,961.897,981.0245,232.243,193.215,212.729,177.102,194.445,185.7735,684.437,518.21,625.225,416.352,15402.687,3463.0016,3
77,YG,2,B,35,1,2,35.1,0.233616264,577.827,609.328,593.5775,179.9,135.459,157.6795,1112.208,134.309,623.2585,833.3844,641.7484,517.6195,491.9976667,18986.271,3854.4065,3
78,YG,2,B,35,2,2,35.2,0.234769149,699.878,701.008,700.443,142.565,129.716,136.1405,113.701,100.809,107.255,931.6488,691.9338,724.7075,693.6506667,17764.049,4601.55475,3
79,YG,2,B,35,3,2,35.3,0.296480825,872.533,895.032,883.7825,154.503,122.051,138.277,114.601,100.362,107.4815,911.925,677.9352,501.1235,429.13,19786.79433,4208.187333,3
80,YA,24,2,36,1,2,36.1,0.157616218,1319.842,1342.406,1331.124,294.856,286.425,290.6405,418.56,348.641,383.6005,2357.8426,2750.214,816.805,677.0805,11950.2045,5781.889,2
81,YA,24,2,36,2,2,36.2,0.174889463,1710.968,1526.264,1618.616,396.535,389.164,392.8495,431.467,318.943,375.205,2274.7206,2765.755,443.806,739.571,9908.918,3890.131,2
82,YA,24,2,36,3,2,36.3,0.134729605,2027.738,1223.397,1625.5675,373.777,300.21,336.9935,239.909,270.432,255.1705,2979.263,2489.8726,693.8875,794.649,9681.231,5840.326,2
83,YA,24,1,37,1,1,37.1,0.114723885,1341.95,1305.035,1323.4925,292.464,387.026,339.745,246.158,262.68,254.419,2427.4566,2799.7144,1224.257,489.473,17319.052,3630.9015,2
84,YA,24,1,37,2,1,37.2,0.10468971,1183.22,1075.888,1129.554,295.728,388.659,342.1935,343.261,239.093,291.177,2220.0062,2392.8596,815.071,642.519,15477.747,5248.8765,2
85,YF,1,2,38,1,2,38.1,0.229450819,790.363,778.376,784.3695,217.422,218.405,217.9135,185.178,171.576,178.377,1520.2172,1256.1994,646.666,453.883,21593.3,2212.304,3
86,YF,1,2,38,2,2,38.2,0.206998833,775.826,693.131,734.4785,231.866,226.01,228.938,192.502,256.851,224.6765,1097.1006,1048.8398,808.125,604.4565,19863.835,2324.654,3
87,YF,1,2,38,3,2,38.3,0.235196817,609.823,575.543,592.683,148.049,215.26,181.6545,213.854,192.074,202.964,1269.3866,921.0068,582.642,981.159,12778.983,1606.626,3
88,YF,1,3,39,1,3,39.1,0.199974447,412.084,401.262,406.673,83.982,87.921,85.9515,85.009,83.333,84.171,322.8696,183.4736,682.469,314.0336,16331.556,1293.143,3
89,YF,1,3,39,2,3,39.2,0.193869353,453.603,474.581,464.092,109.844,99.185,104.5145,87.351,89.657,88.504,278.7638,293.525,431.2703333,507.8006,14046.18575,1580.143286,3
90,YF,1,3,39,3,3,39.3,0.254996266,460.926,423.02,441.973,74.023,76.687,75.355,84.145,81.275,82.71,484.6366,255.4434,855.347,722.57,22651.416,4930.5804,3
91,YF,30,1,40,1,1,40.1,0.241268066,458.111,561.774,509.9425,120.059,204.177,162.118,186.455,210.911,198.683,682.099,861.497,369.467,665.231,16988.3295,1803.385,3
92,YF,30,1,40,2,1,40.2,0.241776706,790.649,669.22,729.9345,253.996,236.667,245.3315,242.474,253.448,247.961,598.9584,744.888,258.938,514.5436667,18784.24,4400.8005,4
93,YF,30,1,40,3,1,40.3,0.196166141,534.093,455.9,494.9965,150.569,169.426,159.9975,145.943,181.787,163.865,603.5916,720.9898,396.3255,317.6825,16717.972,1670.1875,3
94,YF,30,2,41,1,2,41.1,0.295542776,537.727,590.53,564.1285,110.449,129.861,120.155,86.102,101.386,93.744,677.9514,537.061,497.071,366.0873333,24223.70333,3748.284,3
95,YF,30,2,41,2,2,41.2,0.239017105,620.003,635.477,627.74,138.106,126.211,132.1585,87.774,90.346,89.06,795.8102,480.3202,353.053,287.0097778,23748.89633,5103.0829,3
96,YF,30,2,41,3,2,41.3,0.274642909,509.947,511.834,510.8905,93.455,119.436,106.4455,73.724,94.077,83.9005,760.768,523.429,527.099,618.53375,25339.13333,3958.767,3
