Species ,Biorep,Subtype,Ci ,A,Pairing,Pressure,Temp,Ci_p,Cm,Qobs,Plant
Aretro,4,NAD-ME,73.04031263,23.8062139,a,101.45,29.25827599,73.04031263,73.04031263,1800,11
Aretro,4,NAD-ME,111.0242412,27.88919619,a,101.45,29.25213051,111.0242412,111.0242412,1800,11
Aretro,4,NAD-ME,144.8042963,28.86756414,a,101.45,29.24912453,144.8042963,144.8042963,1800,11
Aretro,4,NAD-ME,160.2267724,32.32141179,a,101.45,29.23997879,160.2267724,160.2267724,1800,11
Aretro,4,NAD-ME,255.3861431,32.95059207,a,101.45,29.22634125,255.3861431,255.3861431,1800,11
Aretro,4,NAD-ME,521.6363687,36.98766366,a,101.45,29.21424294,521.6363687,521.6363687,1800,11
Aretro,4,NAD-ME,1189.882853,38.65972489,a,101.45,29.20084953,1189.882853,1189.882853,1800,11
Aretro,5,NAD-ME,2.622089206,0.965237608,a,101.48,29.99087334,2.622089206,2.622089206,1800,12
Aretro,5,NAD-ME,5.382800003,2.636967127,a,101.48,30.01344681,5.382800003,5.382800003,1800,12
Aretro,5,NAD-ME,8.904798324,4.859034039,a,101.48,30.01812935,8.904798324,8.904798324,1800,12
Aretro,5,NAD-ME,12.54465065,6.885739457,a,101.48,30.02541161,12.54465065,12.54465065,1800,12
Aretro,5,NAD-ME,16.03066802,8.772892535,a,101.48,30.04728699,16.03066802,16.03066802,1800,12
Aretro,5,NAD-ME,19.37868383,10.3621941,a,101.48,30.07138824,19.37868383,19.37868383,1800,12
Aretro,5,NAD-ME,26.55480489,13.48356916,a,101.48,30.08767891,26.55480489,26.55480489,1800,12
Aretro,5,NAD-ME,33.38031995,16.03251383,a,101.48,30.12014008,33.38031995,33.38031995,1800,12
Aretro,5,NAD-ME,40.18237038,17.71808142,a,101.48,30.18640518,40.18237038,40.18237038,1800,12
Aretro,5,NAD-ME,54.62292417,21.1189925,a,101.48,30.23356628,54.62292417,54.62292417,1800,12
Aretro,5,NAD-ME,74.85756106,23.9996331,a,101.48,30.31565094,74.85756106,74.85756106,1800,12
Aretro,5,NAD-ME,119.0831422,28.23283337,a,101.48,30.40124512,119.0831422,119.0831422,1800,12
Aretro,5,NAD-ME,166.8243992,29.45783432,a,101.48,30.48488045,166.8243992,166.8243992,1800,12
Aretro,5,NAD-ME,196.6496396,35.81323121,a,101.48,30.54462433,196.6496396,196.6496396,1800,12
Aretro,5,NAD-ME,322.1783589,36.09918568,a,101.48,30.52292442,322.1783589,322.1783589,1800,12
Aretro,5,NAD-ME,651.2989503,40.21025847,a,101.48,30.43071747,651.2989503,651.2989503,1800,12
